Depth,CALI,CGR,DT,ILD,NPHI,PEF,PHIE,RHOB,RT,SGR,SW,Φda,ΦN,ΦND,Vpreal,ΔVp
3163.67,8.9,5.72,75.28,38.43,0.14,4.46,0.12,2.57,37.69,54.04,0.18,0.15135135135135147,0.14,0.14578619885963184,4.048884165781084,0.7623047961832374
3163.82,8.92,6.06,76.99,36.54,0.16,4.4,0.13,2.55,36.76,53.49,0.16,0.1621621621621623,0.16,0.16108470882909312,3.9589557085335763,0.8060131690493844
3163.97,8.915,6.285,77.745,36.815,0.16999999999999998,4.355,0.135,2.54,38.269999999999996,53.125,0.15000000000000002,0.16756756756756772,0.16999999999999998,0.16880308278446549,3.9208791281521385,0.8260258717606452
3164.12,8.815000000000001,6.734999999999999,79.11500000000001,40.515,0.185,4.265,0.14500000000000002,2.53,42.595,52.224999999999994,0.13,0.17297297297297312,0.185,0.17910375877065254,3.8528524215085787,0.8488195413727466
3164.27,8.735,7.115,80.16,45.805,0.195,4.18,0.15,2.53,48.81999999999999,50.989999999999995,0.11499999999999999,0.17297297297297312,0.195,0.1843307631381822,3.8025046282039456,0.8580896639617102
3164.42,8.725,7.34,80.785,53.47,0.20500000000000002,4.1,0.15,2.535,56.04,49.504999999999995,0.10500000000000001,0.17027027027027036,0.20500000000000002,0.18847384336718176,3.772999640126284,0.8761496956389525
3164.57,8.71,7.42,81.01,60.005,0.21,4.01,0.155,2.54,61.275000000000006,48.03,0.1,0.16756756756756758,0.21,0.1899722212594664,3.7624989729710356,0.8869701630830988
3164.72,8.735,7.404999999999999,80.97,63.224999999999994,0.215,3.9050000000000002,0.16,2.54,64.5,46.95,0.095,0.16756756756756758,0.215,0.19276065339298992,3.7643599827703387,0.9039744311632412
3164.87,8.735,7.32,80.7,66.455,0.22,3.8049999999999997,0.16,2.535,67.775,46.625,0.09,0.17027027027027036,0.22,0.19671875013482854,3.7769748712082243,0.9269323400350864
3165.02,8.705,7.1899999999999995,80.095,69.81,0.225,3.7199999999999998,0.165,2.53,70.83500000000001,47.16,0.09,0.17297297297297312,0.225,0.20069122783108512,3.8055782929036353,0.9589724658332455
3165.17,8.684999999999999,7.15,78.965,72.42500000000001,0.225,3.6500000000000004,0.165,2.53,72.12,48.245000000000005,0.09,0.17297297297297312,0.225,0.20069122783108512,3.860263351776478,0.989704760741748
3165.32,8.675,7.385,77.28999999999999,71.64500000000001,0.22,3.5949999999999998,0.16,2.53,71.05,49.34,0.09,0.17297297297297312,0.22,0.19788841474314367,3.9441849587975013,1.0213112772680417
3165.47,8.67,7.875,75.42500000000001,70.11500000000001,0.215,3.565,0.155,2.535,69.65,49.89,0.095,0.17027027027027036,0.215,0.19393031800130503,4.041695236579624,1.0589123250555912
3165.62,8.67,8.385,73.85,68.92,0.20500000000000002,3.565,0.15,2.54,68.83,49.519999999999996,0.1,0.16756756756756758,0.20500000000000002,0.1872350196344684,4.127614712244238,1.0702610499855592
3165.77,8.66,8.629999999999999,72.815,68.69,0.195,3.585,0.14500000000000002,2.545,69.03,48.215,0.10500000000000001,0.16486486486486496,0.195,0.18056408807740892,4.1860617234222195,1.0632769731743201
3165.92,8.655000000000001,8.365,72.19,69.565,0.19,3.6100000000000003,0.14,2.5549999999999997,70.255,46.34,0.11,0.15945945945945955,0.19,0.1754018318882007,4.222242076385208,1.0628244213397486
3166.07,8.7,7.575,71.815,71.32,0.185,3.635,0.135,2.565,72.37,44.58,0.11,0.15405405405405412,0.185,0.1702335345639427,4.24425152731661,1.0533910970727982
